name,symbol,URL
Bitcoin,BTC,coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,coinmarketcap.com/currencies/ethereum/
Binance Coin,BNB,coinmarketcap.com/currencies/binance-coin/
Dogecoin,DOGE,coinmarketcap.com/currencies/dogecoin/
XRP,XRP,coinmarketcap.com/currencies/xrp/
Tether,USDT,coinmarketcap.com/currencies/tether/
Cardano,ADA,coinmarketcap.com/currencies/cardano/
Polkadot,DOT,coinmarketcap.com/currencies/polkadot-new/
Bitcoin Cash,BCH,coinmarketcap.com/currencies/bitcoin-cash/
Litecoin,LTC,coinmarketcap.com/currencies/litecoin/
Uniswap,UNI,coinmarketcap.com/currencies/uniswap/
Chainlink,LINK,coinmarketcap.com/currencies/chainlink/
VeChain,VET,coinmarketcap.com/currencies/vechain/
Stellar,XLM,coinmarketcap.com/currencies/stellar/
USD Coin,USDC,coinmarketcap.com/currencies/usd-coin/
Ethereum Classic,ETC,coinmarketcap.com/currencies/ethereum-classic/
THETA,THETA,coinmarketcap.com/currencies/theta/
Solana,SOL,coinmarketcap.com/currencies/solana/
TRON,TRX,coinmarketcap.com/currencies/tron/
Filecoin,FIL,coinmarketcap.com/currencies/filecoin/
Wrapped Bitcoin,WBTC,coinmarketcap.com/currencies/wrapped-bitcoin/
EOS,EOS,coinmarketcap.com/currencies/eos/
Monero,XMR,coinmarketcap.com/currencies/monero/
Neo,NEO,coinmarketcap.com/currencies/neo/
Binance USD,BUSD,coinmarketcap.com/currencies/binance-usd/
Bitcoin SV,BSV,coinmarketcap.com/currencies/bitcoin-sv/
Terra,LUNA,coinmarketcap.com/currencies/terra-luna/
PancakeSwap,CAKE,coinmarketcap.com/currencies/pancakeswap/
IOTA,MIOTA,coinmarketcap.com/currencies/iota/
Cosmos,ATOM,coinmarketcap.com/currencies/cosmos/
FTX Token,FTT,coinmarketcap.com/currencies/ftx-token/
Maker,MKR,coinmarketcap.com/currencies/maker/
Aave,AAVE,coinmarketcap.com/currencies/aave/
Tezos,XTZ,coinmarketcap.com/currencies/tezos/
Klaytn,KLAY,coinmarketcap.com/currencies/klaytn/
BitTorrent,BTT,coinmarketcap.com/currencies/bittorrent/
Avalanche,AVAX,coinmarketcap.com/currencies/avalanche/
Huobi Token,HT,coinmarketcap.com/currencies/huobi-token/
Crypto.com Coin,CRO,coinmarketcap.com/currencies/crypto-com-coin/
Algorand,ALGO,coinmarketcap.com/currencies/algorand/
Dai,DAI,coinmarketcap.com/currencies/multi-collateral-dai/
THORChain,RUNE,coinmarketcap.com/currencies/thorchain/
Dash,DASH,coinmarketcap.com/currencies/dash/
SHIBA INU,SHIB,coinmarketcap.com/currencies/shiba-inu/
Polygon,MATIC,coinmarketcap.com/currencies/polygon/
Compound,COMP,coinmarketcap.com/currencies/compound/
Kusama,KSM,coinmarketcap.com/currencies/kusama/
Zcash,ZEC,coinmarketcap.com/currencies/zcash/
NEM,XEM,coinmarketcap.com/currencies/nem/
Waves,WAVES,coinmarketcap.com/currencies/waves/
